"property"	"questionTemplate_en"	"questionTemplate_id"	"answerTemplate_en"	"answerTemplate_id"
"hasWebsite"	"Where is %s's website?"	"Di mana alamat website %s?"	"%s's website is at %s."	"Alamat website %s ada di %s."
"happenedIn"	"Where did %s happen?"	"Di mana %s terjadi?"	"%s happened in %s."	"%s terjadi di %s."
"hasLanguageCode"	"What is the language code of %s?"	"Apa kode bahasa dari %s?"	"The language code of %s is '%s'."	"Kode bahasa dari %s adalah '%s'."
"wasDestroyedOnDate"	"When was %s destroyed?"	"Kapan %s dihancurkan?"	"%s was destroyed on %s."	"%s dihancurkan pada %s."
"hasChild"	"Who are the children of %s?"	"Siapa saja anak %s?"	"Children of %s are %s."	"Anak %s adalah %s."
"hasGivenName"	"What is %s's given name?"	"Apa nama depan %s?"	"%s's given name is %s."	"Nama depan %s adalah %s."
"isCitizenOf"	"What is the citizenship of %s?"	"%s warganegara mana?"	"%s is a citizen of %s."	"%s adalah warganegara %s."
"wroteMusicFor"	"What movies did %s write the music for?"	"%s menciptakan lagu untuk film apa?"	"%s wrote music for %s."	"%s menciptakan lagu untuk %s."
"hasAirportCode"	"What is the airport code of %s?"	"Apa kode bandara %s?"	"Airport code of %s is '%s'."	"Kode bandara %s adalah '%s'."
"hasGini"	"What is the gini index of %s?"	"Berapa indeks gini %s?"	"Gini index of %s is %s."	"Indeks gini %s adalah %s."
"hasGDP"	"How much is the GDP of %s?"	"Berapa PDB %s?"	"GDP of %s is %s."	"PDB %s adalah %s."
"created"	"What did %s create?"	"Apa yang dibuat %s?"	"%s created %s."	"%s membuat %s."
"hasCurrency"	"What is the currency of %s?"	"Apa mata uang %s?"	"Currency of %s is %s."	"Mata uang %s adalah %s."
"hasFamilyName"	"What is %s's family name?"	"Apa nama belakang %s?"	"%s's family name is %s."	"Nama belakang %s adalah %s."
"occursSince"	"When did %s start to occur?"	"Kapan %s mulai terjadi?"	"%s occurred since %s."	"%s terjadi sejak %s."
"startsExistingOnDate"	"When did %s start to exist?"	"Kapan %s mulai ada?"	"%s existed since %s."	"%s ada sejak %s."
"hasRevenue"	"How much is the revenue of %s?"	"Berapa pendapatan %s?"	"Revenue of %s is %s."	"Pendapatan %s adalah %s."
"hasEconomicGrowth"	"How much is the economic growth of %s?"	"Berapa pertumbuhan ekonomi %s?"	"Economic growth of %s is %s."	"Pertumbuhan ekonomi %s adalah %s."
"hasLongitude"	"What is %s's longitude?"	"Berapa bujur %s?"	"%s's longitude is %s."	"Bujur %s adalah %s."
"hasLatitude"	"What is %s's latitude?"	"Berapa lintang %s?"	"%s's latitude is %s."	"Lintang %s adalah %s."
"wasBornOnDate"	"When was %s born?"	"Kapan %s dilahirkan?"	"%s was born on %s."	"%s lahir pada %s."
"hasNumberOfPeople"	"How many people live in %s?"	"Berapa populasi %s?"	"%s's population is %s people."	"Populasi %s adalah %s orang."
"diedIn"	"Where did %s die?"	"Di mana %s meninggal dunia?"	"%s died in %s."	"%s meninggal dunia di %s."
"hasHeight"	"How tall is %s?"	"Berapa tinggi %s?"	"%s's height %s."	"Tinggi %s adalah %s."
"hasMotto"	"What is %s's motto?"	"Apa motto %s?"	"%s's motto is %s."	"Motto %s adalah %s."
"hasWeight"	"How much does %s weight?"	"Berapa berat %s?"	"%s weights %s."	"Berat %s adalah %s."
"directed"	"What movies did %s direct?"	"%s menyutradarai film apa?"	"%s directed %s."	"%s menyutradarai %s."
"hasInflation"	"How much is %s's inflation?"	"Berapa inflasi %s?"	"%s's inflation is %s."	"Inflasi %s adalah %s."
"wasBornIn"	"Where was %s born?"	"Di mana %s dilahirkan?"	"%s was born in %s."	"%s lahir di %s."
"actedIn"	"What movies star %s?"	"Film apa saja yang dimainkan %s?"	"%s acted in %s."	"%s bermain dalam %s."
"isMarriedTo"	"Who did %s marry?"	"Siapa pasangan %s?"	"%s is married to %s."	"%s menikahi %s."
"livesIn"	"Where does %s live?"	"%s tinggal di mana?"	"%s lives in %s."	"%s tinggal di %s."
"isLeaderOf"	"What does %s lead?"	"%s memimpin apa?"	"%s is a leader of %s."	"%s adalah pemimpin %s."
"hasCapital"	"What is the capital city of %s?"	"Apa ibu kota %s?"	"Capital city of %s is %s."	"Ibu kota %s adalah %s."
